Stock Price,Total Debt,Cash,Revenues: Last yr,Invested Capital,Reinvestment Rate,ROE,ROC,Net Margin,Invested Capital,BV of Assets,Net Income,EBIT,EBITDA,FCFF,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,Trailing Revenues,Trailing Net Income,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital
18.61,740,180.3,803.1,3.64,-0.23,-0.03,0.18,-0.01,986.6,1176.1,-8.6,180.06,284.86,222.11,0.05,0.15,0.15,84,104.8,1178.3,3.6,0.35,0.38,0.24,0.2,0.74
0.56,1.1,0.7,7.2,1.38,0.03,-0.47,-0.28,-0.53,12.6,10.5,-3.8,-3.52,-3.22,-3.42,0.04,0.1,0.07,0.2,0.3,7.2,-3.8,0.56,0.03,0.06,0.06,0.12
35.67,1043,873.9,2723.8,1.37,0.24,0.01,0.08,0,833.9,3335,8.9,62.92,205.52,47.56,0.43,0.3,0.26,192.8,142.6,2901,8.9,0.01,0.57,1.07,0.52,0.61
10.16,525.9,85.9,302.7,2.14,-0.3,,0.22,-0.13,406.6,637.1,-39.3,91.35,169.75,119.04,0.09,0.27,0.13,51.4,78.4,319.4,-43.3,0.09,0.65,1.23,0.55,
20,0,19.1,,,,0.04,,,-3.8,164.6,0.6,,,,1.53,,0.12,0,0,0,0.6,0,0.01,0,0,0
36.15,229.6,59,919.8,1.89,0.08,0.1,0.16,0.06,721.4,1155.8,53.8,156.37,211.57,105.09,0.04,0.06,0.05,58,55.2,949.8,53.8,0.16,0.33,0.19,0.16,0.29
12.15,54,133.7,169.5,1.46,0.47,0.07,0.14,0.12,215.8,376.9,19.5,45.05,60.35,15.55,0.3,0.71,0.35,23.7,15.3,187.1,19.5,0.07,0.39,0.14,0.12,0.15
38.38,944.6,46.4,1513.7,1.69,0.46,0.11,0.1,0.05,1609.6,2442.7,76.8,220.55,317.85,85.85,0.02,0.02,0.02,57.7,97.3,1970.4,76.8,0.17,0.37,0.52,0.34,0.57
11.8,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
45.76,124.9,168.5,3531.2,2.82,0.12,0.14,0.18,0.06,1488,2302.1,220.3,407.15,467.65,234.15,0.04,0.05,0.07,91,60.5,3531.2,220.3,0.3,0.15,0.03,0.03,0.08
